date,CPI,CPI_yoy,CPI_mom,coreCPI,coreCPI_yoy,coreCPI_mom,PPI,PPI_yoy,PPI_mom,unemployment,unemployment_yoy,unemployment_mom,Nonfarm,Nonfarm_yoy,Nonfarm_mom,industrial production,industrial production_yoy,industrial production_mom,OECD leading,OECD leading_yoy,OECD leading_mom,consumer sentiment_mom,interest rate,previous interest rate,next interest rate,previous change,present change
1983-07-01,99.8,2.358974358974364,0.4024144869215096,99.8,3.205791106514999,0.6048387096774244,101.3,0.8964143426294813,0.2970297029702973,9.4,-4.081632653061229,-6.930693069306926,90437.0,1.023223601166201,0.4621143955299223,49.7739,2.8864658157201184,1.4894970577080668,101.6752,5.094936692505803,0.3423525313263953,0.6507592190889255,9.37,8.98,9.56,0.3899999999999988,0.1900000000000012
1983-08-01,100.1,2.456499488229258,0.3006012024048043,100.1,3.0895983522142068,0.3006012024048043,101.8,1.495513459621134,0.4935834155972429,9.5,-3.0612244897959218,1.0638297872340496,90129.0,0.8571780267000895,-0.3405685725974994,50.364,5.060265091305038,1.1855611073273264,101.9342,5.193135948244598,0.2547327175161706,-2.0474137931034364,9.56,9.37,9.45,0.1900000000000012,-0.1100000000000012
1983-09-01,100.4,2.763561924257929,0.2997002997003006,100.5,3.3950617283950546,0.3996003996004083,102.0,2.0000000000000018,0.1964636542239661,9.2,-8.910891089108919,-3.157894736842115,91247.0,2.3143424195194218,1.240444252127504,51.0937,6.859511564628695,1.4488523548566556,102.1235,5.146384965282413,0.1857080351834739,-1.1001100110010986,9.45,9.56,9.48,-0.1100000000000012,0.0300000000000011
1983-10-01,100.8,2.752293577981657,0.3984063745019917,101.0,3.589743589743599,0.4975124378109541,102.2,1.9960079840319445,0.1960784313725483,8.8,-15.384615384615383,-4.347826086956507,91520.0,2.9390261734171697,0.2991879185069157,51.4902,8.726600855197164,0.7760252242448695,102.2503,4.9687383995768775,0.1241633904047523,-0.6674082313681939,9.48,9.45,9.34,0.0300000000000011,-0.1400000000000005
1983-11-01,101.1,3.1632653061224536,0.2976190476190465,101.5,4.316546762589923,0.4950495049504955,102.1,1.7946161515453696,-0.097847358121339,8.5,-21.2962962962963,-3.409090909090917,91875.0,3.479152118577256,0.387893356643354,51.721,9.560284529251527,0.4482406360821978,102.3197,4.655848787811268,0.0678726614983027,2.015677491601342,9.34,9.48,9.47,-0.1400000000000005,0.1300000000000007
1983-12-01,101.4,3.787103377686796,0.2967359050445317,101.8,4.732510288065828,0.2955665024630516,102.3,1.7910447761193993,0.1958863858961823,8.3,-23.148148148148152,-2.35294117647058,92230.0,3.8965427898750793,0.386394557823122,51.9769,10.892806472190886,0.494770016047652,102.3335,4.203430561424759,0.013487138840329,3.402854006586176,9.47,9.34,9.56,0.1300000000000007,0.0899999999999998
1984-01-01,102.1,4.290091930541351,0.6903353057199135,102.5,5.020491803278704,0.6876227897838927,102.9,2.6946107784431077,0.5865102639296182,8.0,-23.076923076923084,-3.614457831325313,92673.0,4.138667265984952,0.4803209367884697,53.0088,11.03691259703643,1.9853050104950527,102.2952,3.630268752336341,-0.0374266491422692,6.263269639065805,9.56,9.47,9.59,0.0899999999999998,0.0299999999999993
1984-02-01,102.6,4.693877551020398,0.4897159647404558,102.8,4.8979591836734615,0.2926829268292685,103.2,2.686567164179099,0.2915451895043608,7.8,-25.0,-2.500000000000002,93157.0,4.768491964416244,0.5222664638028229,53.2486,12.22422673894168,0.4523777184165745,102.195,2.9546612635995784,-0.0979518100556076,-2.697302697302684,9.59,9.56,9.91,0.0299999999999993,0.3200000000000003
1984-03-01,102.9,4.892966360856277,0.2923976608187217,103.2,5.0916496945010215,0.3891050583657574,103.9,3.486055776892427,0.6782945736434121,7.8,-24.271844660194187,0.0,93429.0,4.870355819957339,0.2919802054595966,53.5028,11.830878756589325,0.4773834429449675,102.0264,2.2008056748841875,-0.1649787171583705,3.696098562628336,9.91,9.59,10.29,0.3200000000000003,0.379999999999999
1984-04-01,103.3,4.5546558704453455,0.3887269193391551,103.7,5.172413793103448,0.4844961240310086,104.0,3.585657370517925,0.096246390760335,7.7,-24.50980392156862,-1.2820512820512775,93792.0,4.955015442460042,0.38853032784254,53.8233,11.09430052241256,0.5990340692449747,101.797,1.408200957528849,-0.2248437659272295,-4.851485148514856,10.29,9.91,10.32,0.379999999999999,0.0300000000000011
